|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0000000000001010|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0000000000001010|  0  |      5|   0   |   10|    1|      0 |
|1+  |     0|1010110000010000|  0  |      0|   0   |   10|    1|      0 |
|2   |     0|1010110000010000|  0  |      0|   0   |   10|    2|      0 |
|2+  |     0|0000000000011101|  0  |      5|   0   |   10|    2|      0 |
|3   |     0|0000000000011101|  0  |     14|   0   |   29|    3|      0 |
|3+  |     0|1110110000010000|  0  |     29|   0   |   29|    3|     29 |
|4   |     0|1110110000010000|  0  |     29|   0   |   29|    4|     29 |
|4+  |     0|1010000000110000|  0  |     14|   0   |   29|    4|     14 |
|5   |     0|1010000000110000|  0  |      7|   0   |   14|    5|     14 |
|5+  |     0|1110110111010000|  0  |     15|   0   |   14|    5|     15 |
|6   |     0|1110110111010000|  0  |     15|   0   |   14|    6|     15 |
|6+  |     0|0000001111101000|  0  |      7|   0   |   14|    6|     15 |
|7   |     0|0000001111101000|  0  |    500|   0   | 1000|    7|     15 |
|7+  |     0|1100110000010000|  0  |   1000|   0   | 1000|    7|   1000 |
|8   |     0|1100110000010000|  0  |   1000|   0   | 1000|    8|   1000 |
|8+  |     0|1010011111011000|  0  |    500|   1   | 1000|    8|    500 |
|9   |     0|1010011111011000|  0  |    250|   1   | 1000|    9|    500 |
